brand,model,year,km,fuel_type,transmission,listed_price
Peugeot,Peugeot 208 1.2 PureTech Allure,2015,137000,Benzin,Manuel,600000
Audi,Audi A3 Sedan 1.6 TDI Attraction,2014,192000,Dizel,Manuel,1150000
Toyota,Toyota Corolla 1.6 Life,2018,99000,Benzin,Manuel,1080000
Fiat,Fiat Albea Sole 1.4 Fire Active,2008,230000,Benzin,Manuel,350000
Seat,Seat Leon 1.4 TSI Style,2011,225000,Benzin,Manuel,717500
Renault,Renault Megane 1.5 dCi Authentique,2008,320000,Dizel,Manuel,360000
DS,DS Automobiles DS4 1.5 BlueHDi Performance Line,2023,89000,Dizel,Otomatik,1800000
BMW,BMW 3 Serisi 320i 50 Jahre Edition,2025,6900,Benzin,Manuel,5650000
Fiat,Fiat Egea 1.3 Multijet Easy Stil,2021,178000,Dizel,Manuel,795000
Renault,Renault R 19 1.6 Europa RT,1998,255000,Benzin,Manuel,160000
Opel,Opel Corsa 1.4 Twinport Enjoy,2008,136000,Benzin,Manuel,699000
Renault,Renault R 19 1.6 Europa iE,2000,44000,Benzin,Manuel,179950
Renault,Renault Clio 1.2 Touch,2015,178000,Benzin,Manuel,620000
Fiat,Fiat Brava 1.6 ELX,2000,216000,Benzin,Manuel,179000
Renault,Renault Clio 1.0 TCe Touch,2023,37000,Benzin,Manuel,1110000
Ford,Ford Focus 1.6 TDCi Trend X,2015,199000,Dizel,Manuel,895000
Audi,Audi A3 Sportback 1.6 FSI,2004,360000,Benzin,Manuel,450000
Renault,Renault Laguna 1.6 Privilege,2003,360000,Benzin,Manuel,305000
Toyota,Toyota Corolla 1.6 Vision,2020,83000,Benzin,Manuel,1510000
Renault,Renault R 19 1.6 Europa RNE,1999,72000,Benzin,Manuel,440000
Opel,Opel Corsa 1.2 T Ultimate,2023,45000,Benzin,Manuel,1425000
Renault,Renault Megane 1.3 TCe Joy Comfort,2022,60000,Dizel,Manuel,1410000
Volkswagen,Volkswagen Passat 1.4 TSi BlueMotion Highline,2012,249000,Benzin,Manuel,995000
Volkswagen,Volkswagen Polo 1.4 TDi Comfortline,2016,163000,Dizel,Manuel,965000
Toyota,Toyota Auris 1.4 D-4D Comfort Plus,2012,283000,Dizel,Manuel,655000
Renault,Renault Clio 1.5 dCi Grandtour Extreme,2012,320000,Dizel,Manuel,465000
Volkswagen,Volkswagen Passat 1.4 TSi BlueMotion Highline,2015,172000,Benzin,Manuel,1585000
Renault,Renault Megane 1.6 RXT,2000,260000,Benzin,Manuel,387500
